URL,Date,Text,Lang,Likes,Retweets,Replies
https://twitter.com/hashtag/AirTaxi?src=hashtag_click,29/07/2023,"On July 29th, 2019, the world's first all-electric air taxi took its maiden flight in New Zealand!  #AirTaxi #ElectricFlight #Innovation",en,,,
https://twitter.com/POTUS,28/07/2023,"@POTUS
 If 
@ArcherAviation
 and 
@jobyaviation
 don't get #FAA certification soon, China's 
@ehang
 will take everything ahead of them!!

#evtol
#OSH23",en,,1,1
https://twitter.com/hashtag/AirTaxi?src=hashtag_click,28/07/2023,"On July 28th, 2019, the world's first all-electric air taxi took its maiden flight in New Zealand!  #AirTaxi #ElectricFlight #NewZealand",en,,,
https://twitter.com/hashtag/AirTaxi?src=hashtag_click,27/07/2023,"On July 27th, 2019, the world's first all-electric air taxi took its maiden flight in New Zealand!  #AirTaxi #ElectricFlight #Innovation",en,,,
https://twitter.com/ReporterExchang,27/07/2023,"I tend to think there will be another form of high speed transportation before the US catches up with trains.

Something like #eVTOL in 5 years or something...",en,1,,
https://twitter.com/DroneXL1,27/07/2023,"Wow, that's a fascinating glimpse into the future of urban aviation!  I'm really curious to know more about the technology behind this demonstration. Is it a fully autonomous drone or a combination of airplane and VTOL? #uam #drone #oshkosh",en,,,1
https://twitter.com/hashtag/eVolt?src=hashtag_click,26/07/2023,If they change the flight operations over to quantum computing first we might see some interesting science come out of this … quantum web. Especially in the #eVolt area #eVTOL,en,6,,
https://twitter.com/hashtag/evtol?src=hashtag_click,25/07/2023,Initial designs coming soon… #evtol,en,,,
https://twitter.com/WiskAero,24/07/2023,"Rumor is that 
@WiskAero
 will be flying a demonstration flight tomorrow (Tuesday) about 2pm at show center here at #OSH23 ?#airtaxi #RAM #AAM #mobility",en,1,,
https://twitter.com/stocknewsgpt,22/07/2023,"Joby Aviation (JOBY) was the week's top decliner, -16.14%, after a downgrade from JPMorgan. #JOBY #eVTOL",en,,,1
https://twitter.com/hashtag/AAM?src=hashtag_click,21/07/2023,Wisk applauds the FAA's release of its Advanced Air Mobility (#AAM) Implementation Plan. This document provides a clear path for early Urban Air Mobility (#UAM) entrants. The outlined approach will demonstrate the safety and viability of this future form of transportation and…,en,12,4,1
https://twitter.com/EAA,21/07/2023,"Are you ready for 
@EAA
's #Osh23? Be sure to stop by the 
@WiskAero
 chalet (747C) on 
@Boeing
 Plaza and be one of the first in the U.S. to check out our 6th Generation, autonomous, eVTOL #airtaxi! We look forward to seeing everyone in just a few days!",en,18,5,
https://twitter.com/hashtag/Brazilian?src=hashtag_click,21/07/2023," MOBI'WATCH - The #Brazilian aircraft manufacturer, 
@embraer
, chooses to locate its #eVTOL factory in #Taubaté, near #SaoPaulo in #Brazil (
@Zonebourse
)",en,,,
https://twitter.com/hashtag/eVTOL?src=hashtag_click,20/07/2023," MOBI'WATCH - Two months after raising €90 million, German #eVTOL manufacturer #Lilium has announced a new round of financing of €172 million. (
@TravelOnMove
)",en,,,
https://twitter.com/hashtag/ElectricVehicles?src=hashtag_click,20/07/2023,"Scaled e-VTOL fleets will essentially be regional airline businesses without the largest & the most volatile operational expense: Fuel

Imagine the operational leverage in that network model!!


#ElectricVehicles #electricmobility #eVTOL #decarbonisation #oil #NetZero",en,,,
https://twitter.com/elanhead,20/07/2023,"While that is true only in part (helicopters and especially urban operation provide limited cross-country, night, IFR opportunities or ATP qualifying time), the clear #eVTOL objective and anticipation is pilotless autonomous or remote ‘operator’ operations. So it may be a bubble.",en,,,1
https://twitter.com/hashtag/eVTOL?src=hashtag_click,20/07/2023,"#eVTOL funding continues to grow 
#Lilium #AAM #UAM

ttps://www.airtrafficmanagement.net/article/evtol-funding-continues-grow",en,,,
