Text,Sentiment Scores,Sentiment Label
" Dive into the future of flight with our #eVTOL Battery Integration Webinar replay.  Uncover challenges, solutions, and innovations shaping the next era of sustainable aviation. Watch now:","{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.25}",positive
" Dive into the future of flight with our #eVTOL Battery Integration Webinar replay.  Uncover challenges, solutions, and innovations shaping the next era of sustainable aviation. Watch now:","{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.25}",positive
".
@bleutechparklv
 smart mobility starts w/more accessibility throughout Gateway & building new #Mobility ecosystem increasing number of electric vehicles & charging stations. Our goal: To build dynamic human-centered *Future #SmarCity w/groundbreaking innovations #eVTOL Las Vegas","{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.6808}",positive
"Dive into the future of aviation with 'Redefining Flight: 5 Fascinating Facts About eVTOL Batteries.'  Explore cutting-edge battery tech, sustainability efforts, and more. Read it here: http://go.3ds.com/1OP  #eVTOL #AviationInnovation","{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.5423}",positive
"$EVEX and Jeju Air, a South #Korean LCC, announced a concept white paper related to #eVTOL service to #Jeju Island","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
An honour to host and moderate the ‘Future of End-to-End Urban Air Transportation’ forum at today’s Aerospace & Defense Meeting Turin event. #admtorino23 #evtol #aam #uam #sustainableaviation,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.6369}",positive
NewswireToday / Leonardo - AW09 Global Market Success Extends to Europe with Preliminary Sales Contracts for Ten Units by Léman Aviation #Leonardo_Live #LehmannAviation #AW09 #SingleEngine #Helicopter #EuropeanRotors #Aviation #Aerospace #Drone #eVTOL - http://newswiretoday.com/news/181187/,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.6369}",positive
"#eVTOL #economic #mirages. To avoid wasting time in horrible traffic jams by Cdr. Bud Slabbaert https://50skyshades.com/blogs/cdr-bud-slabbaer/evtol-economic-mirages… via 
@50skyshades","{'neg': 0.359, 'neu': 0.641, 'pos': 0.0, 'compound': -0.8126}",negative
"Our CEO’s interview with JETSET Magazine sheds light on our journey and vision for the eVTOL industry.

Only 12 days left to invest!

 JETSET interview:  https://bit.ly/47xVQpP
 Invest: https://bit.ly/49x7P8c

#eVTOL #InvestmentOpportunity.","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.3164}",positive
"Piasecki Aircraft Corporation has been awarded a $37M multi-year contract by AFWERX, the Air Force's innovation arm in conjunction with the Air Force Research Lab

Read more: https://hubs.la/Q02bmRVG0


@usairforce
 #defense #defensetech #unmannedsystems #vtol #aircraft #hydrogenfuel","{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.6486}",positive
"Want a job in the eVTOL/Flying Car space?


@CycloTech_AT
 (that cool barrel rotor craft) is hiring!

Check out their linked in page for job listings:
https://linkedin.com/company/cyclotech-gmbh/jobs/…

#evtol #jobs #techjobs #flyingcars","{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.4389}",positive
"Murat Kose, CEO of Quantum3D, is presenting “Mixed Reality eVTOL Simulator” at Innovation Showcase at I/ITSEC

#Quantum3D #mixedreality #pilottraining #flightsimulators #eVTOL #Airtaxi #VRA  #mixedreality #pilottraining #flightsimulators #VR","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.3818}",positive
" Dive into the future of flight with our #eVTOL Battery Integration Webinar replay.  Uncover challenges, solutions, and innovations shaping the next era of sustainable aviation. Watch now:","{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.25}",positive
"Dive into the future of aviation with 'Redefining Flight: 5 Fascinating Facts About eVTOL Batteries.'  Explore cutting-edge battery tech, sustainability efforts, and more. Read it here: http://go.3ds.com/gnR  #eVTOL #AviationInnovation","{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.5423}",positive
"RAeS Amy Johnson Lecture 2023: 'The Path to Innovation – a New Era in Aviation', 12 Dec, RAeS HQ, given by Julie Garland, Avtrain #drones #eVTOL #AAM #avgeek https://aerosociety.com/events-calendar/raes-amy-johnson-named-lecture-2023-the-path-to-innovation-a-new-era-in-aviation/…","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.3818}",positive
"#1 Archer Aviaton $ACHR – #eVTOL manufacturer

 218% YTD
 $1.79B market cap

#eVTOLs could soon become the hottest trend on Wall Street

They’re 4X-5X quieter than helicopters/cheaper to fly/and safer

Some eVTOLs could start operating next year, including Archer (NYC/Chi)","{'neg': 0.0, 'neu': 0.931, 'pos': 0.069, 'compound': 0.4215}",positive
"@jump_aero
, Oregon Department of Aviation sign deal to work together on how to bring Jump Aero’s JA1 emergency response aircraft to Oregon's rural areas. #evtol#flyingvehicles","{'neg': 0.098, 'neu': 0.902, 'pos': 0.0, 'compound': -0.3818}",negative
"New Textron eAviation CEO Kriya Shortt on the company’s #AAM programs

Textron eAviation said it plans to achieve key milestones for its advanced air mobility programs in 2024

Read more here: https://verticalmag.com/features/new-textron-eaviation-ceo-kriya-shortt-on-the-companys-aam-programs/…

#eVTOL #UAM","{'neg': 0.0, 'neu': 0.943, 'pos': 0.057, 'compound': 0.25}",positive
"It is Day 2 at 
@EuropeanRotors
 and the FreeFlight team is taking in all the sights 

It is always a pleasure for our team to connect with the #VTOL, #eVTOL, and #rotorcraft industry at events like this. Do not miss your chance to connect with Santiago or Scott at this event.","{'neg': 0.032, 'neu': 0.827, 'pos': 0.141, 'compound': 0.7099}",positive
"Hainan issues nation’s first map for UAV activity, boosts ‘low-altitude economy’
https://cnrobopedia.com/hainan-issues-nations-first-map-for-uav-activity-boosts-low-altitude-economy/…
#Hainan #drone #UAV #eVTOL #lowaltitude #logistics","{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.3182}",positive
"Taking urban mobility to the skies. 

The future of transportation is looking up! #FlyingTaxiInnovation #UrbanAirMobility","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"#NEWS | 
@EveAirMobility
 and 
@flynas
 Sign MoU to Propel #eVTOL Advancements in Saudi Arabia. Read full news: https://bit.ly/3sNT7tg #EmbraerStories #WeAreEmbraer","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"Piasecki Awarded $37 Million for Development of Next-Gen VTOLs

More details: https://hubs.la/Q02bhQX10

#vtol #aircraft #aerospace #advancedairmobility #aam #transport #hydrogen #technology","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4019}",positive
"LiLIUM #evtol  Design Organization Approval (DOA) from the European Union Aviation Safety Agency (EASA).
The FAA issued its G‑1 for the Lilium Jet in June, making Lilium the only eVTOL manufacturer with both an EASA and FAA certification basis for a powered lift eVTOL aircraft.","{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.7096}",positive
"Eve and 
@flynas
 announced a Memorandum of Understanding to explore the future of #eVTOL operations in Saudi Arabi. Learn more: https://eveairmobility.com/eve-air-mobility-and-flynas-sign-mou-to-propel-evtol-advancements-in-saudi-arabia/… 
#MobilityReimagined #GreenTech","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"#NEWS | South Korean airline Jeju Air and Eve Air Mobility have produced a white paper outlining their plan for eVTOL operations on Jeju Island.

Read more at AviationSource!

https://aviationsourcenews.com/general-aviation/eve-air-mobility-and-jeju-air-release-concept-of-operations-for-uam-in-south-korea/…

#SouthKorea #JejuAir #EveAir #eVTOL #Jejuisland #AvGeek","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"@VolatusLLC
 Sets #Infrastructure/#SAF and #Hydrogen for our #40seat #eVTOL 
@LYTEAviation
 #SkyBus in #US 

#urbanairmobility #ram #uam #aam  #airporttransfer #passenger #masstransit #pointtopoint","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
".
@EveAirMobility
 and #JejuAir Release Concept of Operations for #UrbanAirMobility in #SouthKorea 

#MobilityReimagined #GreenTech #Aviation #Aerospace #CivilAviation #avgeek #avgeeks #Technology #UAM #eVTOL #EmbraerStories #WeAreEmbraer #Eve 
@embraer","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"COHC and Lilium to jointly launch services in China using the Lilium eVTOL Jet

Read more: https://hubs.la/Q02b8-cC0

#evtol #airtaxi #advancedairmobility #aam #aircraft #aerospace #aviation #transport #electric #mobility 
@Lilium","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
