URL,Date,Text,Lang,Likes,Retweets,Replies
https://twitter.com/hashtag/EHang?src=hashtag_click,30/12/2023,"Chinese manufacturer #EHang has made a historic progress!
EHang's self-flying air taxi successfully completed its inaugural trips with passengers aboard in China,which also marked the first passenger-carrying #eVTOL trips in the world.
 #technology  #airtaxi #aviation",en,4,,
https://twitter.com/hashtag/Shenzhen?src=hashtag_click,29/12/2023,"Up to 20 million reward for Electric Vertical Take-off and Landing companies in #Shenzhen!

Shenzhen is determined to make 'air taxi' a reality. Eligible companies could receive funding if they set up business in the city, as local authorities announced on the 27th. #eVTOL",en,6,1,
https://twitter.com/hashtag/eVTOL?src=hashtag_click,28/12/2023,Watch an Electric Air Taxi Take Its First Flight Over New York City: Joby's five-person electric aircraft became the first #eVTOL to fly in Manhattan's air space. https://ow.ly/pUsT50Ql5ZM #EVs #UAM #AAM,en,,,
https://twitter.com/hashtag/BroadcastRepublic?src=hashtag_click,28/12/2023,"China's innovative air taxi, the M1, has completed a successful test flight, marking a milestone in the development of electric vertical take-off and landing (eVTOL) aircraft. 

#BroadcastRepublic #AirTaxi #M1TestFlight #UrbanAirMobility #eVTOL #FutureTech #ChinaTech",en,,,
https://twitter.com/hashtag/VTOL?src=hashtag_click,22/12/2023,"#VTOL companies that focus on air taxi service are getting attention in the press, but they’ve got to compete with traditional rideshare and taxis that average $0.66/mile. Ditto with eVTOLs that deliver $8 lattes to people’s backyards. Are those business models sustainable?",en,,,1
https://twitter.com/hashtag/NEWS?src=hashtag_click,21/12/2023,"#NEWS | Joby Aviation and NASA have run a simulation of air traffic control operations involving multiple eVTOL air taxi flights in busy airspace.

Read more at AviationSource!

https://aviationsourcenews.com/general-aviation/joby-and-nasa-run-demo-of-air-taxi-operations-in-busy-airspace/…

#JobyAviation #NASA #eVTOL #airtaxi #AvGeek",en,1,1,
https://twitter.com/hashtag/eVTOL?src=hashtag_click,21/12/2023,"(Santa Cruz, California) Electric vertical take-off and landing (#eVTOL) developer 
@jobyaviation
 today announced the successful completion of a series of air traffic simulations with 
@NASA
's Ames Research Center that evaluated how air taxi operations can be integrated into…",en,2,,
https://twitter.com/search?q=%24JOBY&src=cashtag_click,20/12/2023,"Joby Aviation, NASA Simulation Demonstrates Up To 120 Air Taxi Operations Per Hour in Busy Airspace   $JOBY, #Joby, #JobyAviation, #NASA, #eVTOL",en,,,
https://twitter.com/search?q=%24PTHR&src=cashtag_click,19/12/2023,"$PTHR Pono Three / Horizon Aircraft should be the next public #eVTOL company.  The SPAC target is developing a hybrid model aimed at business travel and medevac rather than air taxi.  Aims for type certification in 2027.

SPAC is scheduled to merge by Feb 2024.  Will probably be…",en,4,,2
https://twitter.com/EveAirMobility,14/12/2023,"UrbanX Air and 
@EveAirMobility
 seek to launch first air taxi flights in Florida in 2026. #eVTOL",en,,,1
https://twitter.com/hashtag/NEWS?src=hashtag_click,13/12/2023,"#NEWS | A collaboration between UrbanX Air and Eve Air Mobility plans to bring the first eVTOL air taxi services to Miami, Florida in 2026.

Read more at AviationSource!

https://aviationsourcenews.com/general-aviation/urbanx-air-and-eve-air-to-launch-first-air-taxi-flights-in-florida/…

#UrbanXAir #EveAir #Miami #Florida #eVTOL #airtaxi #AvGeek",en,2,1,
https://twitter.com/hashtag/NEWS?src=hashtag_click,11/12/2023,"#NEWS | Joby Aviation has partnered with ANA Holdings and Nomura Real Estate Development to develop vertiports in Japan for eVTOL air taxi operations.

Read more at AviationSource!

https://aviationsourcenews.com/general-aviation/joby-and-ana-holdings-partner-to-develop-vertiports-in-japan/…

#JobyAviation #ANA #Japan #eVTOL #airtaxis #AvGeek",en,3,1,
https://twitter.com/NATS,11/12/2023,"News from UK ATM provider 
@NATS
 as it reveals it has successfully completed major ATC simulation of #eVTOL air taxi ops - with flights being simulated between Bristol, Farnborough and London City #avgeek https://nats.aero/news/pioneering-air-traffic-control-simulations-pave-the-way-for-evtol-operations/…",en,6,6,
https://twitter.com/hashtag/eVTOL?src=hashtag_click,08/12/2023,"Joby Aviation, ANA Holdings, and Nomura Real Estate Development have entered into a collaborative partnership to establish infrastructure for electric air taxi services in Japan. #eVTOL #Japan #JobyAviation #Vertiports #Nomura #Aviation #AAM #UAM #ANA",en,,1,
https://twitter.com/hashtag/joystyletrends?src=hashtag_click,30/11/2023,"Wisk Aero is the first eVTOL air taxi company to fly in the Greater Los Angeles Area, with test flights at Long Beach Airport in October. Take a look and admire this unique performance!

#joystyletrends #joy #style #trends #WiskAero 
@WiskAero
 #eVTOL #airtaxi",en,1,,
https://twitter.com/hashtag/joystyletrends?src=hashtag_click,30/11/2023,"Wisk Aero is the first eVTOL air taxi company to fly in the Greater Los Angeles Area, with test flights at Long Beach Airport in October. Take a look and admire this unique performance!
  
#joystyletrends #joy #style #trends #WiskAero 
@WiskAero
 #eVTOL #airtaxi",en,1,,
https://twitter.com/hashtag/evtol?src=hashtag_click,25/11/2023,India Air taxi by 2026. This will save so much time and it is very affordable as well. We will have to wait for 2026. This is so exciting  #evtol #Indigo,en,4,,1
https://twitter.com/hashtag/Tampa?src=hashtag_click,24/11/2023,"Air taxi test flights were conducted at Tampa Airport. eVTOL tech was tested as it would help short distance transport during busy traffic.

#Tampa #Florida #News #Business #eVTOL #Germany

https://finance.yahoo.com/news/tampa-international-airport-tests-futuristic-150000151.html…",en,,,
https://twitter.com/search?q=%24ACHR&src=cashtag_click,20/11/2023,$ACHR and InterGlobe (parent of #IndiGo) announced plans to launch an electric air taxi service in India using #Archer's Midnight #eVTOL,en,,,
https://twitter.com/hashtag/joystyletrends?src=hashtag_click,20/11/2023,"Wisk Aero is the first eVTOL air taxi company to fly in  the Greater Los Angeles Area with the launch of test flights of Wisk’s 5th Generation (Cora) autonomous, eVTOL aircraft at Long Beach Airport. 

#joystyletrends #joy #style #trends #WiskAero 
@WiskAero
 #airtaxi #eVTOL",en,,,
https://twitter.com/hashtag/joystyletrends?src=hashtag_click,20/11/2023,"Wisk Aero became the first eVTOL air taxi company to fly in the Greater Los Angeles Area.

#joystyletrends #joy #style #trends #WiskAero 
@WiskAero
 #eVTOL #airtaxi",en,,,
https://t.co/TlTt2wsVUu,18/11/2023,"Dubai Heliport Operator Plans To Purchase Archer's Midnight eVTOL Air Taxi https://futureflight.aero/news-article/2023-11-16/dubai-heliport-operator-plans-purchase-archers-midnight-evtol-air-taxi… 
#evtol #eaviationnews #archer",en,,,
https://twitter.com/hashtag/Transport?src=hashtag_click,18/11/2023,"5/ #Transport/#Climate: First-ever #electric #air #taxi flight takes off in #NYC
https://bbc.co.uk/news/world-us-canada-67421870… #carbon #decarbonisation #ev #evtol #airtaxi #sdg15",en,,,
https://twitter.com/hashtag/Job?src=hashtag_click,18/11/2023,"#Job to #Robot: Joby's Milestone: First #Electric #Air #Taxi #Flight in #NYC!
#Robots looking for #jobs

@jobtorob

#JobyAviation #ElectricAirTaxi #NYCAviation #eVTOLAdoption #UrbanAirMobility #ElectricAirTaxi #NYCAviation #eVTOL #UrbanAirMobility #FutureOfTransport #Innovation",en,1,,
https://twitter.com/hashtag/Job?src=hashtag_click,18/11/2023,"#Job to #Robot: Joby's Milestone: First #Electric #Air #Taxi #Flight in #NYC!
#Robots looking for #jobs 

@jobtorob

 #JobyAviation #ElectricAirTaxi #NYCAviation #eVTOLAdoption #UrbanAirMobility #ElectricAirTaxi #NYCAviation #eVTOL #UrbanAirMobility #FutureOfTransport #Innovation",en,2,,
https://twitter.com/hashtag/eVTOL?src=hashtag_click,17/11/2023,A new subcommittee is helping to make the air taxi a reality. #eVTOL #AirTaxis #vertiport #standards See https://go.astm.org/3QC7Hgn,en,4,1,
https://twitter.com/search?q=%24EVE&src=cashtag_click,17/11/2023,"$EVE and Hunch Mobility (a JV between Hunch Ventures & Blade Air Mobility) are working together to bring electric air taxi service to #Bangalore, India using #eVTOL aircraft",en,,,
https://twitter.com/hashtag/electric?src=hashtag_click,17/11/2023,"The duo wants to introduce an #electric air taxi service in #India starting from 2026. For operations, they will use 
@ArcherAviation
's #Midnight #eVTOL.


@InterGlobe_IGE
 #Archer #sustainable #transportation",en,1,1,
https://t.co/kVw6zjJwig,16/11/2023,"InterGlobe and Archer to launch electric air taxi service in India

Find out more: https://hubs.la/Q028ZMSc0

#airtaxi #evtol #electric #aircraft #aerospace #aviation #flight #transport #india #advancedairmobility #aam #mobility 
@ArcherAviation",en,3,,1
