URL,Date,Text,Lang,Likes,Retweets,Replies
https://twitter.com/EvanKirstel,30/12/2022,"CLEAN ENERGY RETORT™/

@Amazon
 s' New #LastMile, #ElectricDelivery,
#FlyingEV #CargoDrones, #DeliveryDrone's #UAV Are Unmanned #eVTOL's
=
- #ZeroEmissions!
- #NearMaintenanceFREE!
- 97%+ <Cost/Mi-Km!
=
#EpicROI!
Vs
- #OldTech #FossilFuels #FossilFuelsPenalty W/#FossilFuelsShame!",en,3,3,
https://twitter.com/VTOLsociety,29/12/2022,"With all that’s been communicated by 
@EHANG
 and the CAAC, it should be clear: the type certification progress of pilotless/automated #eVTOL $EH #EH216 is in the very final stages.

Of course extensive crashworthiness testing has been done.

Most Westerners just refuse to believe!",en,17,7,1
https://twitter.com/AlcockNews,29/12/2022,"All aircraft companies should conduct crashworthiness testing. This has been a major thrust by #VFS for many years. 

@NASAaero
 testing provides non-proprietary testing to improve their tools and for the benefit of the whole #eVTOL industry.",en,4,,1
https://twitter.com/hashtag/RYSE?src=hashtag_click,28/12/2022,"Making history - #RYSE #RECON #eVTOL to take flight at CES. RYSE Aero via 
@50skyshades",en,,,
https://twitter.com/XPENG_AEROHT,28/12/2022,".
@XPENG_AEROHT
 Please address and fix the noise problem. UR #eVTOL sounds like #Helicopters  It will not sell in  or  

Pls. get #customerfeedback ULL find this #version  will not fly

.
@AmazingChevVolt
 .
@SecretaryPete
 .
@SecGranholm
 .
@FutureFlightAIN
 .
@ElectricVTOL
 .
@FT
 .
@WSJ",en,,,
https://twitter.com/Abdulla_sd07,28/12/2022,"In order to facilitate the effective and secure operation of vertical take-off and landing (#VTOL) aircraft, this regulation addresses the design and operating requirements of vertiports. #GCAA #UAE",en,,,
https://twitter.com/treacl,27/12/2022,"CLEAN ENERGY RETORT™/
MQ/
'
@United
 & 
@ArcherAviation
~
To Launch~Shuttle Service From~#VertiPort Near~ Southern Tip~Manhattan To United’s Hub At Newark~
10 Minutes In Archer’s 4 Passenger #ZeroEmissions, #NearMaintenanceFREE;
#eVTOL, #PassengerDrone #FlyingEV
=
#EpicROI!


@Forbes",en,1,1,
https://twitter.com/idewight1,26/12/2022,#uber price around 100 in major cities. The #Joby  #JAS4 can get you to you destination for around the same price and save you time. 1 hour for #uber is 10 minutes with #JobyJAS4-1 Just bought by ##Apple changes the game for #evTOL,en,,,1
https://twitter.com/LilMoonLambo,25/12/2022,#evTOL and #joby. #vertical aerospace #airtaxi will fix this.,en,,,
https://twitter.com/AlcockNews,23/12/2022,"ElectricVTOL: RT 
@AlcockNews
: The Qingdao West Coast New Area in China's Shandong province has agreed a $10 million investment in #eVTOL aircraft developer 
@ehang
, with potentially another $10 million to come. Plans announced today also call for a partnership to use the auto…",en,,,
